student_id,cluster_id,skill_count,interest_count,domain_count,project_count,project_technology_count,hackathons_participated,hackathons_won,github_repos,github_commits,github_stars,github_followers,profile_completion
b4c077d2-148e-42f9-bc80-1515091459a8,0,8,4,2,4,15,0,0,11,434,0,22,72.0
389062fe-a5c8-4f8d-ab5a-72f522fa00fa,0,10,5,3,2,8,4,1,11,379,43,11,78.0
8d64530c-b109-44d6-898f-58a15a3429d0,0,10,6,3,4,15,1,1,28,368,27,78,91.0
dd0434a4-56fe-447b-b4a9-5d07504606b3,3,9,5,3,1,3,1,0,4,143,36,12,91.0
075a80d5-043a-4b43-bdea-b48fad26e8ff,0,9,4,4,2,7,0,0,0,0,0,0,86.0
2434dd7a-db32-4b60-8025-8a694d181b79,3,8,5,4,0,0,3,0,9,117,34,59,77.0
c2340382-6c27-4270-9883-0b8b961fe8c0,0,5,4,2,2,8,4,0,25,394,35,64,93.0
a9e6c11c-3ef9-49c5-89a2-63fe46ab235c,0,4,3,3,3,12,2,0,0,0,0,0,82.0
e74cd5e6-4aad-460f-9ec1-a6eac48a4a58,0,12,5,4,3,12,2,0,0,0,0,0,89.0
88b163f6-0154-462a-85b1-8dccb2071ff2,0,9,6,4,2,9,0,0,0,0,0,0,98.0
f65e9bc5-57b3-4f96-ab99-5e425d46456e,0,5,3,4,3,13,2,0,0,0,0,0,96.0
68850a10-ff2d-4844-b456-e19c970488a0,0,8,4,4,3,13,5,0,0,0,0,0,83.0
8b45903d-f859-457f-8517-b7b0cb85a48a,0,7,5,3,3,12,3,2,12,166,13,57,86.0
f1371c2b-d4f4-49e6-af42-977e4a370bf5,0,9,4,3,2,8,4,0,23,372,0,15,77.0
26223b4e-f7fb-44af-b779-ee91d39509a7,0,12,6,4,3,12,1,0,25,129,4,55,96.0
3aa9e83f-9407-49dd-bb68-44e046573db9,0,4,4,3,3,10,5,1,0,0,0,0,91.0
e649d778-4f86-4007-9cb7-ebe51f531c66,0,7,6,3,3,10,6,1,3,338,9,32,78.0
7f3eecd2-0620-4f87-83c0-3604e8bbeb96,3,6,4,4,0,0,5,0,23,194,0,55,98.0
2b9a90d7-2e2e-4096-b75d-70225b6167e0,0,7,5,4,3,11,1,0,9,201,16,45,93.0
04988768-5f3f-4001-b1e2-cccf6434f729,1,7,5,4,1,3,6,1,11,138,7,26,75.0
44011eff-1033-4636-b423-249db19d35c4,1,8,4,3,1,4,1,1,18,265,28,45,96.0
0e5fe7e2-af95-46e2-bf8f-a08bcb198d14,0,6,6,3,2,6,1,0,4,332,6,28,75.0
8e6faa10-2480-4c61-97e1-c320efa565fd,3,5,3,4,0,0,4,0,11,443,9,11,93.0
261a2b64-84c8-4f62-aab8-f89183729d9f,0,6,5,4,3,9,3,1,23,246,17,25,83.0
31af78ed-9dda-4632-a904-96cb721a1963,0,7,3,4,2,8,3,0,22,407,31,58,98.0
d0813615-73e8-428e-a989-f63bf8f97a8d,0,4,3,2,3,11,3,0,0,0,0,0,87.0
ce5c719e-0eba-4ee2-9b14-0345a49fc6d3,0,12,6,3,3,11,3,2,13,71,28,14,72.0
c04f993f-4455-4dc5-80f8-c549868d0354,1,10,3,2,0,0,3,2,14,240,9,33,75.0
cd66922d-c11d-445c-8359-6d83c64885f1,0,10,5,2,3,12,4,0,21,203,36,39,97.0
8adc503c-cbb2-41a7-bd6f-2bcec950aea0,0,11,6,3,3,12,1,1,19,276,17,23,74.0
d3ced1b7-92b3-466b-92fa-4d0f7d7ebdfa,0,10,5,3,2,7,5,0,12,272,7,14,100.0
c4b5cf54-8f46-49df-b8f1-81ee738e55e4,3,7,4,4,1,4,1,0,5,359,13,78,95.0
5b3a219d-f774-40a3-8e53-cefbbd95c1b7,0,7,5,2,2,8,5,0,0,0,0,0,83.0
7e41e4a1-e1f5-4811-b5ee-7d004b7f594a,3,7,5,3,1,3,2,1,0,0,0,0,72.0
42564104-e8ad-4e44-b9ff-89862dfd35d2,1,9,5,3,0,0,4,2,5,66,5,13,95.0
78ae885f-c435-4649-9c08-d501a77bc648,1,8,4,3,1,2,7,2,28,239,35,80,78.0
277d73e1-a781-4bdf-a6f2-d6c53560bc03,1,9,6,4,1,3,6,1,0,0,0,0,83.0
6ccd1f6a-9887-4159-94ae-a8daf672d1a8,0,8,6,2,3,9,3,0,18,402,27,24,97.0
fcccb7c6-a8a4-4e69-9db9-8f40d2b5cea2,1,8,6,3,1,2,2,1,10,190,10,11,98.0
40627c66-b187-405d-94af-8fafe9314606,1,5,4,4,0,0,1,1,17,343,19,37,79.0
77a759a7-7170-48ba-bd51-11b2aced5eeb,0,4,6,2,3,10,6,1,0,0,0,0,75.0
affb040c-0796-49f8-b3db-6780d0e12bad,1,8,3,4,0,0,6,1,0,0,0,0,74.0
347dcda4-cc34-4117-be02-c3eeaaf8878f,3,6,6,3,1,3,4,0,12,423,6,66,74.0
85821370-f883-484e-94ee-f6ae8dc26c65,1,5,5,3,2,7,5,2,19,290,26,22,97.0
b92bae36-b338-429c-af78-0cbf3fb8795f,2,10,6,4,1,4,2,0,7,408,45,62,76.0
9965fb9a-60f0-4faa-a4c2-69d5bf9b8f86,0,10,4,3,3,10,1,1,0,0,0,0,90.0
6c7ba5ab-e76c-4823-86d3-ecd291bf2b8e,2,4,4,4,0,0,0,0,25,417,29,6,80.0
99d675f5-481c-4a42-ab83-626ee52dd60c,0,12,5,4,3,10,4,2,12,248,38,56,89.0
0af9507d-81b9-4cf1-b44b-0dacf503dc2d,3,4,3,4,1,3,4,0,24,250,23,49,81.0
ce2ebc11-9397-4333-846e-1b97cad19e01,0,6,5,2,3,9,1,0,25,247,5,42,92.0
aae2087b-48ce-441f-8985-02e8fb5169ec,0,11,5,2,3,9,6,1,0,0,0,0,88.0
ed82829b-d814-4e03-b750-a41974852d40,0,9,3,4,2,6,1,1,0,0,0,0,96.0
0614b282-09f3-41f4-8c80-cd26922cefb7,1,10,6,3,1,3,2,1,20,74,20,32,74.0
fc2e2e44-67a1-49c0-8deb-aae8b7fd05ce,2,7,6,2,1,3,2,0,22,354,43,62,93.0
6c480048-b597-421a-a03f-d31dcc86dde0,0,5,6,2,3,10,1,0,27,93,12,79,92.0
62896dac-f806-44b9-bcb9-4a4df88ecc09,0,12,6,3,2,7,0,0,26,337,24,20,84.0
1458b5a8-ec14-4f63-b9f8-f205cef99d3a,0,11,5,4,3,10,4,0,25,380,31,42,91.0
1c013e76-8dd1-4835-929d-4d17b3cca983,0,11,3,4,2,5,6,1,6,368,8,2,76.0
cab37fc0-5983-4910-a593-6b513146db25,0,9,5,3,3,8,4,2,11,118,7,44,95.0
bb0f642d-1096-4c1e-a583-70dcd1d200f4,1,5,6,3,1,3,4,2,0,0,0,0,92.0
c4e69c9e-4472-40aa-ae9e-e98402e48d1b,0,11,5,2,3,12,5,1,0,0,0,0,76.0
e019c590-05ca-4dd0-8414-3264362d7ab3,3,7,6,4,1,4,0,0,21,57,2,56,99.0
fb92583d-11ab-4cec-a9fd-c5fd932c1193,1,10,3,4,1,4,5,1,14,99,17,26,94.0
732dbfe7-1acd-4dd9-8572-92ca7923a567,3,5,4,4,0,0,5,0,0,0,0,0,86.0
e88fb49b-4d38-4e00-98f7-81c1486d5d6c,0,9,6,4,2,8,3,1,19,88,24,33,72.0
38eb7628-e648-4935-b757-eff8326a187d,0,8,3,4,3,11,1,1,27,164,24,61,95.0
bccfcb8d-4fb3-47d4-b57d-a04e3af3b2df,3,9,6,3,1,3,0,0,8,91,34,64,100.0
6c6070fe-5590-4bd5-bd37-c804f1141ede,0,11,3,3,3,10,2,0,19,96,15,26,100.0
a4a433e6-4d7c-4b9e-a42e-488e76adf7e7,0,7,3,3,3,10,0,0,21,263,17,7,100.0
bf5c6dbf-7b36-4028-b03b-7b4abbf3532f,0,10,3,2,3,12,5,0,11,421,28,64,88.0
b94ac878-a11a-4440-8721-86ece96b9784,2,9,3,3,0,0,4,0,20,304,32,54,72.0
132eafd1-24b7-4dd8-b703-0907cb2db46e,0,10,3,3,2,8,2,0,26,340,31,78,70.0
e5da3070-4f31-4f4e-97b7-7ce6e1450cb2,0,6,3,4,2,7,1,1,17,289,1,44,80.0
7ebfb18c-673f-4555-840f-7ad53c8cdea0,3,7,5,3,0,0,3,0,0,0,0,0,81.0
3769dc5c-4e8b-4b24-9e2d-9e4e2179c613,1,9,5,4,1,3,4,2,33,495,42,7,84.0
3f5bccd6-69b7-4942-b990-1a8d254bb653,3,6,4,4,0,0,0,0,3,39,49,29,73.0
bfa1f0df-056e-4c7d-8e36-bd69a0ff8ce2,2,7,5,3,0,0,1,0,34,1020,15,19,70.0
a18617bd-eb70-4f68-9316-aa2807609078,3,7,5,3,1,4,4,0,4,88,21,44,91.0
961c7e8c-d09e-4acb-ba57-63466f357076,3,10,3,3,0,0,0,0,6,126,14,43,92.0
3a29330d-5c66-44fd-97fd-5e6ccd8bb730,2,6,5,4,1,3,0,0,22,638,7,52,93.0
b737c73d-287a-42d9-bf3f-4c1e38e85199,2,10,3,3,1,5,1,0,27,540,1,33,73.0
7cbaf425-d5c6-49f3-8efe-1b197b36c98b,1,10,4,2,1,4,3,1,20,380,16,16,91.0
bcd14113-cdb3-41fa-9993-040ff343e346,2,6,4,2,0,0,1,0,11,330,48,33,95.0
40a86714-ebfa-4332-b7cf-a8edbbca6ef0,2,5,4,2,0,0,1,0,29,841,38,52,92.0
68c6c4f0-0f3f-4023-9e14-06c382d47efc,3,9,3,2,1,3,4,0,15,345,7,36,88.0
d4493a6b-3b00-4377-8d43-e9b67ed0c6a5,2,11,5,4,0,0,0,0,20,560,2,50,83.0
0eb20fb6-a17a-41e6-846a-933aef316c3a,2,9,4,4,0,0,1,0,28,728,0,44,82.0
d49250fd-6f04-4007-bcb0-968ddd8ba6d6,3,6,3,2,0,0,5,0,0,0,0,0,94.0
d4fe8a65-f434-413c-8323-087d73800e64,1,9,3,2,0,0,3,1,21,399,37,39,95.0
afc7e477-3249-4772-95fd-e07a29179270,0,7,5,4,2,6,3,0,27,540,40,47,95.0
b4ccab6a-fe7a-4a76-bbea-150c9cbd5d3e,3,10,4,3,1,2,3,0,12,204,29,42,82.0
17fba54a-7d3e-423b-8ec7-f07480195e32,2,8,4,3,0,0,0,0,28,504,0,38,97.0
a4110e45-2926-4e7f-8678-ab3a4210a5f1,1,11,3,3,0,0,5,1,19,475,18,49,93.0
69b350c6-2a8f-4317-b816-1b51a6cddd3d,2,8,5,4,0,0,1,0,22,660,26,9,69.0
ae1edce1-d966-42e3-8c89-aef9b00864d3,2,8,5,2,1,5,3,0,32,384,42,15,68.0
0066a921-913f-4f9c-94f3-fc50ab1a7418,3,10,5,2,0,0,2,0,0,0,0,0,76.0
af4ec097-6ced-4f57-8f0d-7e1ff5ee4a98,2,9,3,3,0,0,0,0,23,667,9,6,76.0
762d9ef6-91f9-45a9-b70e-026d55968fd6,3,10,4,3,1,3,0,0,0,0,0,0,71.0
028835cb-f2be-4cf3-833d-5016c814a61b,2,8,5,2,1,5,1,0,22,440,22,2,95.0
a8b3e1b2-de65-49e5-9789-63217c28db6d,2,11,3,2,0,0,0,0,30,750,38,30,76.0
4732886f-ea61-4283-92e8-e4dd176e752e,2,8,3,3,0,0,4,0,17,442,35,55,70.0
b76e52b5-01dd-4187-b21f-d60808acc325,2,8,4,3,0,0,3,0,24,408,21,51,70.0
5c0da250-6f41-4e9f-b813-7948724a918a,2,6,3,3,0,0,2,0,33,792,40,21,86.0
c8a6c705-5710-4a9c-b506-593a8b372fba,3,5,5,4,1,3,0,0,14,154,15,47,82.0
221c46a1-750f-4420-91f2-226350f81809,3,9,3,4,1,4,0,0,8,240,42,29,79.0
62c257a4-beb9-4e46-acfc-043c4c84b377,3,6,5,4,0,0,0,0,13,312,2,28,89.0
087481f9-5507-4faf-9389-4e4246f98b69,3,10,5,4,0,0,2,0,13,234,28,59,72.0
7b26de21-f416-4540-b996-0ac71302b1d1,2,6,3,4,0,0,1,0,33,792,39,2,68.0
fdc30964-24b1-415d-88e7-290336637cf5,2,8,4,4,1,3,5,0,35,910,35,3,95.0
ce46641a-724d-478c-b961-285394659b37,3,5,5,4,0,0,0,0,7,168,2,20,69.0
9b22ca8a-655c-43ad-b685-8e52f2b8b6c5,1,9,4,3,0,0,4,1,30,360,27,40,85.0
e79850c2-c17a-4aac-b2b3-52194b911c0a,2,9,4,4,0,0,0,0,31,341,8,6,92.0
0811fe08-051a-4441-9608-0c17358c8abe,3,8,5,2,1,4,1,0,7,168,11,59,70.0
1ee97fc8-a9e6-4a93-9b13-b736356a4c9a,3,6,4,3,0,0,0,0,0,0,0,0,80.0
e4c102b8-80bb-4fe3-9020-55e2e1c77522,2,7,5,4,1,4,0,0,20,280,40,21,70.0
d9758c73-1f57-4d15-a893-49b5f90df6b1,1,10,4,4,0,0,1,1,6,90,28,28,82.0
e9488dc6-d1ac-430c-a5c2-850186211dc1,1,9,4,3,1,4,5,1,34,340,5,27,82.0
2b147d81-92b6-4409-aa68-a44b06e3083e,2,10,3,4,0,0,0,0,31,837,17,54,72.0
2c0d9eec-46d3-4e5d-88aa-f3fd93a302c6,2,6,3,3,0,0,5,0,23,345,25,41,86.0
3bc2614f-c7f7-4b97-bc03-e59332e2b984,3,6,5,3,1,3,0,0,18,198,36,46,74.0
b0473f2b-3906-4d17-835c-77d14f68153c,2,10,5,3,0,0,4,0,22,374,19,51,90.0
9fecce85-a2ce-4a32-9236-9f7f9fae8ae8,3,6,3,3,0,0,1,0,20,280,6,41,75.0
20f0cd2f-0720-4027-a947-2e6ea888d087,3,5,5,3,1,3,0,0,14,154,25,52,73.0
6188831d-2423-4170-97be-c1ce063d2e91,3,8,3,3,1,4,5,0,9,135,8,32,97.0
581bb5ae-aabd-47ba-8e9e-54b92e296fad,3,7,3,3,0,0,1,0,11,275,9,31,79.0
482ad2c1-897a-4d02-a049-2588feb555c9,2,9,5,3,0,0,0,0,31,341,29,10,81.0
f63bb13f-93b2-41f7-941e-269711f4d4eb,1,9,5,3,0,0,2,1,27,594,5,45,72.0
8ca7b2f9-b286-4535-ad63-ce138605bd4f,3,6,4,4,0,0,1,0,5,120,38,45,75.0
8fddae81-3c19-442e-bb98-ee9806b04725,3,7,5,2,0,0,3,1,0,0,0,0,98.0
5650aad2-20d6-4baf-b306-cf8f848814e9,3,7,4,2,1,4,1,0,8,192,23,7,91.0
202ac62b-753f-400d-902a-ec7d099233b7,2,6,4,4,1,3,1,1,33,660,13,25,81.0
c478ab16-73cc-4c97-a81c-03bb388a6500,3,9,5,3,1,5,5,0,6,60,26,10,70.0
ec48f2c8-387a-4ec0-b06c-7fc1298bf283,2,9,5,4,0,0,5,0,19,399,17,52,70.0
a7773a57-50bc-47d6-8134-aaf0c5d7ebf2,2,10,3,3,0,0,5,0,33,594,2,6,96.0
a1b22b09-722b-4f62-beec-d3e19dbb8026,2,10,5,2,0,0,0,0,28,560,1,42,93.0
97f73fec-5bfb-4202-afdc-2b2e1ddf4d87,2,10,5,3,0,0,0,0,31,651,48,19,72.0
c9eb73ea-d077-44ec-b88c-690272b8f0e7,3,6,4,4,0,0,3,0,20,500,9,6,81.0
