student_id,skills,skill_count
b4c077d2-148e-42f9-bc80-1515091459a8,"[""C++"", ""Git"", ""Java"", ""JavaScript"", ""Kubernetes"", ""PostgreSQL"", ""Problem Solving"", ""TypeScript""]",8
389062fe-a5c8-4f8d-ab5a-72f522fa00fa,"[""Communication"", ""Docker"", ""FastAPI"", ""Git"", ""Ideation"", ""Java"", ""JavaScript"", ""Kubernetes"", ""Python"", ""TypeScript""]",10
8d64530c-b109-44d6-898f-58a15a3429d0,"[""C++"", ""Docker"", ""Git"", ""Java"", ""JavaScript"", ""Node.js"", ""Python"", ""Rapid Prototyping"", ""React"", ""Team Leadership""]",10
dd0434a4-56fe-447b-b4a9-5d07504606b3,"[""Angular"", ""Communication"", ""Java"", ""MongoDB"", ""MySQL"", ""Python"", ""React"", ""Tailwind CSS"", ""Vue.js""]",9
075a80d5-043a-4b43-bdea-b48fad26e8ff,"[""AWS"", ""Angular"", ""Express.js"", ""MySQL"", ""Presentation"", ""Python"", ""REST API"", ""Rapid Prototyping"", ""Vue.js""]",9
2434dd7a-db32-4b60-8025-8a694d181b79,"[""AWS"", ""Angular"", ""MongoDB"", ""MySQL"", ""Problem Solving"", ""React"", ""Tailwind CSS"", ""Team Leadership""]",8
c2340382-6c27-4270-9883-0b8b961fe8c0,"[""Prompt Engineering"", ""Python"", ""R"", ""Tableau"", ""Team Leadership""]",5
a9e6c11c-3ef9-49c5-89a2-63fe46ab235c,"[""NLP"", ""Problem Solving"", ""Python"", ""SQL""]",4
e74cd5e6-4aad-460f-9ec1-a6eac48a4a58,"[""NLP"", ""OpenCV"", ""Pandas"", ""Presentation"", ""Prompt Engineering"", ""PyTorch"", ""Python"", ""R"", ""Scikit-Learn"", ""Tableau"", ""Team Leadership"", ""TensorFlow""]",12
88b163f6-0154-462a-85b1-8dccb2071ff2,"[""Communication"", ""CrewAI"", ""Deep Learning"", ""HuggingFace"", ""LangChain"", ""LlamaIndex"", ""Problem Solving"", ""Python"", ""RAG""]",9
f65e9bc5-57b3-4f96-ab99-5e425d46456e,"[""Agentic AI"", ""LlamaIndex"", ""RAG"", ""Team Leadership"", ""TensorFlow""]",5
68850a10-ff2d-4844-b456-e19c970488a0,"[""Agentic AI"", ""Communication"", ""Ideation"", ""LangChain"", ""PyTorch"", ""RAG"", ""TensorFlow"", ""Vector Embeddings""]",8
8b45903d-f859-457f-8517-b7b0cb85a48a,"[""Arduino"", ""C++"", ""Communication"", ""ESP32"", ""STM32"", ""Signal Processing"", ""Verilog""]",7
f1371c2b-d4f4-49e6-af42-977e4a370bf5,"[""Arduino"", ""C++"", ""Communication"", ""ESP32"", ""FPGA"", ""STM32"", ""Team Leadership"", ""VHDL"", ""Verilog""]",9
26223b4e-f7fb-44af-b779-ee91d39509a7,"[""Arduino"", ""ESP32"", ""FPGA"", ""MATLAB"", ""PCB Design"", ""Rapid Prototyping"", ""STM32"", ""Signal Processing"", ""Simulink"", ""Team Leadership"", ""VHDL"", ""Verilog""]",12
3aa9e83f-9407-49dd-bb68-44e046573db9,"[""Control Systems"", ""Power Electronics"", ""Presentation"", ""Proteus""]",4
e649d778-4f86-4007-9cb7-ebe51f531c66,"[""Control Systems"", ""LabVIEW"", ""MATLAB"", ""PLC"", ""Rapid Prototyping"", ""Siemens TIA Portal"", ""Team Leadership""]",7
7f3eecd2-0620-4f87-83c0-3604e8bbeb96,"[""Ideation"", ""MATLAB"", ""PLC"", ""Rapid Prototyping"", ""SCADA"", ""Siemens TIA Portal""]",6
2b9a90d7-2e2e-4096-b75d-70225b6167e0,"[""3D Printing"", ""ANSYS"", ""Communication"", ""Creo"", ""FEA"", ""Ideation"", ""Thermodynamics""]",7
04988768-5f3f-4001-b1e2-cccf6434f729,"[""3D Printing"", ""CATIA"", ""CFD"", ""FEA"", ""Rapid Prototyping"", ""SolidWorks"", ""Thermodynamics""]",7
44011eff-1033-4636-b423-249db19d35c4,"[""3D Printing"", ""ANSYS"", ""CATIA"", ""CFD"", ""CNC Programming"", ""FEA"", ""Fusion 360"", ""Presentation""]",8
0e5fe7e2-af95-46e2-bf8f-a08bcb198d14,"[""ETABS"", ""Hydrology"", ""Problem Solving"", ""SAP2000"", ""STAAD Pro"", ""Team Leadership""]",6
8e6faa10-2480-4c61-97e1-c320efa565fd,"[""BIM (Building Information Modeling)"", ""GIS"", ""Problem Solving"", ""Structural Analysis"", ""Team Leadership""]",5
261a2b64-84c8-4f62-aab8-f89183729d9f,"[""AutoCAD Civil 3D"", ""BIM (Building Information Modeling)"", ""Problem Solving"", ""Rapid Prototyping"", ""SAP2000"", ""Structural Analysis""]",6
31af78ed-9dda-4632-a904-96cb721a1963,"[""Automation"", ""Embedded C"", ""Ideation"", ""MATLAB"", ""PLC"", ""Problem Solving"", ""SolidWorks""]",7
d0813615-73e8-428e-a989-f63bf8f97a8d,"[""Automation"", ""Presentation"", ""Raspberry Pi"", ""Sensors""]",4
ce5c719e-0eba-4ee2-9b14-0345a49fc6d3,"[""Arduino"", ""Automation"", ""Embedded C"", ""MATLAB"", ""PLC"", ""ROS"", ""ROS2"", ""Rapid Prototyping"", ""Raspberry Pi"", ""Sensors"", ""Simulink"", ""SolidWorks""]",12
c04f993f-4455-4dc5-80f8-c549868d0354,"[""Autonomous Navigation"", ""Gazebo"", ""Motion Planning"", ""OpenCV"", ""Python"", ""ROS"", ""ROS2"", ""Robotics Kinematics"", ""SLAM"", ""Team Leadership""]",10
cd66922d-c11d-445c-8359-6d83c64885f1,"[""Autonomous Navigation"", ""Gazebo"", ""Motion Planning"", ""OpenCV"", ""Python"", ""ROS2"", ""Rapid Prototyping"", ""Robotics Kinematics"", ""SLAM"", ""Sensor Fusion""]",10
8adc503c-cbb2-41a7-bd6f-2bcec950aea0,"[""Autonomous Navigation"", ""C++"", ""Communication"", ""Gazebo"", ""Motion Planning"", ""OpenCV"", ""Python"", ""ROS"", ""ROS2"", ""Robotics Kinematics"", ""Sensor Fusion""]",11
d3ced1b7-92b3-466b-92fa-4d0f7d7ebdfa,"[""ANSYS"", ""AutoCAD"", ""Battery Management"", ""CATIA"", ""CFD"", ""Electric Drive Systems"", ""Ideation"", ""MATLAB"", ""Rapid Prototyping"", ""SolidWorks""]",10
c4b5cf54-8f46-49df-b8f1-81ee738e55e4,"[""ANSYS"", ""Battery Management"", ""CFD"", ""Electric Drive Systems"", ""MATLAB"", ""Presentation"", ""Problem Solving""]",7
