student_id,project_id,project_rank,student_rank,final_score,pred_compat_score,prob_good_fit,compatibility_score,match_outcome,skill_overlap_ratio,matched_skill_count,required_skill_count,tfidf_similarity,domain_match,interest_overlap_ratio,cluster_id,cluster_segment,explanation
7c59a687-5d33-4f1e-b160-4b4af927664b,proj_0001,1,3,59.9141,51.0889,0.9996,50.5385,1,0.5,2,4,0.1327,1,0.0,2,High Open-Source Contributor,Strong match (Score: 59.9). Matched 2/4 required skills (50%). domain aligned. Segment: High Open-Source Contributor.
bf5c6dbf-7b36-4028-b03b-7b4abbf3532f,proj_0001,2,20,51.1605,36.8387,0.9992,45.7811,1,0.5,2,4,0.0966,0,0.0,0,Applied Project Specialist,Strong match (Score: 51.2). Matched 2/4 required skills (50%). Segment: Applied Project Specialist.
132eafd1-24b7-4dd8-b703-0907cb2db46e,proj_0001,3,20,51.0079,36.6409,0.9987,30.4543,1,0.5,2,4,0.0927,0,0.0,0,Applied Project Specialist,Strong match (Score: 51.0). Matched 2/4 required skills (50%). Segment: Applied Project Specialist.
b94ac878-a11a-4440-8721-86ece96b9784,proj_0001,4,11,50.3047,34.058,0.9993,28.7296,1,0.5,2,4,0.1135,0,0.0,2,High Open-Source Contributor,Strong match (Score: 50.3). Matched 2/4 required skills (50%). Segment: High Open-Source Contributor.
41548c0f-f749-405b-8baa-0d455112ae92,proj_0001,5,11,50.1638,35.2619,0.9926,34.3833,1,0.25,1,4,0.0854,1,0.0,2,High Open-Source Contributor,Strong match (Score: 50.2). Matched 1/4 required skills (25%). domain aligned. Segment: High Open-Source Contributor.
c3b38c11-0bcb-49fb-91ff-75f472399a74,proj_0001,6,8,49.7481,33.2253,0.9994,38.663,1,0.5,2,4,0.0984,0,0.0,1,Hackathon Champion,Moderate match (Score: 49.7). Matched 2/4 required skills (50%). Segment: Hackathon Champion.
2e6429ae-0f2a-44a0-a1f8-20065eb6cfe2,proj_0001,7,8,49.734,33.3475,0.9994,33.5204,1,0.5,2,4,0.0942,0,0.0,3,Emerging Generalist Builder,Moderate match (Score: 49.7). Matched 2/4 required skills (50%). Segment: Emerging Generalist Builder.
2af7712b-5192-4039-b527-b1a51858eda8,proj_0001,8,19,49.3063,31.4158,0.9994,33.3261,1,0.5,2,4,0.1172,0,0.0,3,Emerging Generalist Builder,Moderate match (Score: 49.3). Matched 2/4 required skills (50%). Segment: Emerging Generalist Builder.
8232d63e-d487-4977-bd32-327717e11fb0,proj_0001,9,4,49.1522,31.4242,0.9994,33.6322,1,0.5,2,4,0.1067,0,0.0,1,Hackathon Champion,Moderate match (Score: 49.2). Matched 2/4 required skills (50%). Segment: Hackathon Champion.
4740cd5d-ac02-4515-ac53-2040e26b69ba,proj_0001,10,14,48.7659,32.6335,0.9972,32.1997,1,0.25,1,4,0.0531,1,0.0,2,High Open-Source Contributor,Moderate match (Score: 48.8). Matched 1/4 required skills (25%). domain aligned. Segment: High Open-Source Contributor.
